,qhc,sex,agemons,weight,height,Tuoi_CHA,Ma_Nghe_CHA,Tuoi_ME,Ma_nghe_ME,BMI
qhc,1.0,0.03144418990147326,0.273843170882854,0.1087845544988522,0.2331748812210848,-0.006285144894111552,-0.03905450057853437,-0.014692016915473385,-0.026316987952916808,-0.025443555509612033
sex,0.03144418990147326,1.0,-0.024787741226908116,-0.09305109636229217,-0.10316334166903711,-0.005660393677479974,-0.0779741324162998,0.008665800791976527,-0.06950441329368448,-0.03970618580129893
agemons,0.273843170882854,-0.024787741226908116,1.0,0.37799779729998545,0.7503952674919219,0.08905178998966443,-0.03373739095601532,0.10471260316689625,-0.0431225190483739,-0.04203714558214547
weight,0.1087845544988522,-0.09305109636229217,0.37799779729998545,1.0,0.680363577960382,0.04243297074601817,-0.060282696134339245,0.07476879504502273,-0.0014640194328270919,0.8187160976044914
height,0.2331748812210848,-0.10316334166903711,0.7503952674919219,0.680363577960382,1.0,0.08000679292174437,-0.041438087940015675,0.08503896712693142,-0.040248808975777456,0.1521203048057186
Tuoi_CHA,-0.006285144894111552,-0.005660393677479974,0.08905178998966443,0.04243297074601817,0.08000679292174437,1.0,-0.051600480116384045,0.7704947939047858,-0.09826124584375001,0.0035265793839376926
Ma_Nghe_CHA,-0.03905450057853437,-0.0779741324162998,-0.03373739095601532,-0.060282696134339245,-0.041438087940015675,-0.051600480116384045,1.0,-0.042211936357527555,0.4836486572035931,-0.044604399712893913
Tuoi_ME,-0.014692016915473385,0.008665800791976527,0.10471260316689625,0.07476879504502273,0.08503896712693142,0.7704947939047858,-0.042211936357527555,1.0,-0.07552448288751987,0.04218689165476523
Ma_nghe_ME,-0.026316987952916808,-0.06950441329368448,-0.0431225190483739,-0.0014640194328270919,-0.040248808975777456,-0.09826124584375001,0.4836486572035931,-0.07552448288751987,1.0,0.03286579486353486
BMI,-0.025443555509612033,-0.03970618580129893,-0.04203714558214547,0.8187160976044914,0.1521203048057186,0.0035265793839376926,-0.044604399712893913,0.04218689165476523,0.03286579486353486,1.0
